variant,trial_id,replicate_id,com_scale,payload_mass,payload_pos_x,payload_pos_y,payload_pos_z,true_com_x,true_com_y,true_com_z,measurement_seed,torque_seed,force_seed,position_rms,position_rms_x,position_rms_y,position_rms_z,velocity_rms,attitude_rms,attitude_rms_x,attitude_rms_y,attitude_rms_z,peak_attitude,angular_acc_command_rms,mean_dob_norm,final_com_error,final_com_error_x,final_com_error_y,final_com_error_z,moce_convergence_time,max_motor_utilization,max_servo_angle,saturation_time,terminal_altitude_m,terminal_tilt_rad,terminal_airborne,numerical_success,flight_success,success,failure_reason,runtime_s,motor_1_max_utilization,motor_2_max_utilization,motor_3_max_utilization,motor_4_max_utilization,motor_1_saturation_fraction,motor_2_saturation_fraction,motor_3_saturation_fraction,motor_4_saturation_fraction,servo_1_max_abs_angle_rad,servo_2_max_abs_angle_rad,servo_3_max_abs_angle_rad,servo_4_max_abs_angle_rad,servo_1_max_abs_rate_rad_s,servo_2_max_abs_rate_rad_s,servo_3_max_abs_rate_rad_s,servo_4_max_abs_rate_rad_s,servo_1_angle_contact_fraction,servo_2_angle_contact_fraction,servo_3_angle_contact_fraction,servo_4_angle_contact_fraction,motor_saturation_fraction,servo_angle_contact_fraction,servo_rate_limit_contact_fraction,servo_rate_limit_implemented,max_servo_rate_rad_s,allocation_a1_condition_max,allocation_a1_min_singular_min,allocation_a1_max_singular_max,allocation_a2_condition_max,allocation_a2_min_singular_min,allocation_a2_max_singular_max,allocation_rank_min,allocation_force_residual_max_n,allocation_torque_residual_max_nm,realized_force_residual_max_n,realized_torque_residual_max_nm,loss_event_time_s
baseline,0,0,1.2,0.5,0.372,0.372,0.672,0.03957446808510638,0.03957446808510638,0.07148936170212766,7000,7001,7002,0.08571030557195591,0.04863837502711544,0.0675529902393502,0.020424457537031124,0.16775516640638277,0.017419185729996213,0.010090611534658891,0.009528413197398061,0.010526962158778871,0.03724871679592043,4.630264204011338,2.061118095240766,0.00814361772732077,0.0006507991661299922,-2.397354423414738e-05,0.008117536289002622,nan,0.43159554482440043,0.4654068554059176,0,0.7947962575185958,0.011334626122934332,True,True,True,True,normal_completion,6.247585562999916,0.4710145790756775,0.33973482892130563,0.22051311821181188,0.32475322704587256,0.0,0.0,0.0,0.0,0.26602668941869506,0.6312905204985003,0.6808225664627569,0.5614111721000672,1.655366394808817,3.070843307585235,8.999148364149228,3.1738868242283558,0.0,0.0,0.0,0.0,0.0,0.0,nan,False,8.999148364149228,1.4200265824130953,0.8183879936583667,1.1621327057226003,inf,0.0,1.072251488919915,3,3.243789091050994,1.1063296485593734,47.09973699854308,4.780383909728659,nan
baseline,1,1,1.2,0.5,0.372,0.372,0.672,0.03957446808510638,0.03957446808510638,0.07148936170212766,7003,7004,7005,0.077482367650961,0.048321673482067805,0.0567088039488114,0.021275448841008897,0.1562160677161333,0.014042396808413475,0.008849896559113684,0.006610888901132718,0.008669739728204605,0.03514015590787645,4.081722524861762,1.5629383155778844,0.0004868945621600981,-0.0004551717754854717,7.29639882418448e-05,0.00015672021529566926,nan,0.42886628652483716,0.3557567298438614,0,0.7879926396768904,0.009565054976013258,True,True,True,True,normal_completion,6.0654848949999405,0.4520013018381863,0.32714214862917934,0.2216983683367706,0.30738981004312904,0.0,0.0,0.0,0.0,0.19702881784992435,0.6314058447419401,0.6672413528965342,0.5686263679645371,1.11982654681092,3.1049828346988813,6.126662560259974,3.1470279996229564,0.0,0.0,0.0,0.0,0.0,0.0,nan,False,6.126662560259974,1.5248955223020086,0.7841949141353796,1.1958153131770484,1.1530548867429875,0.9311648904168792,1.073684227258681,4,1.7872498845139901,0.7542097116803963,46.96757682529356,4.738542717274483,nan
baseline,2,2,1.2,0.5,0.372,0.372,0.672,0.03957446808510638,0.03957446808510638,0.07148936170212766,7006,7007,7008,0.07316693708814082,0.048456672362016326,0.050593680789664405,0.021109975144791213,0.1474152890245829,0.017674118226115376,0.009351059733838754,0.00688807355114793,0.013322408929276244,0.03572648873008462,4.242244080090413,1.252161617394118,0.007127580850940893,0.00028354653046883116,0.0006089175466233096,0.007095860030551099,nan,0.4306491269024282,0.38265766265982154,0,0.7875149615115581,0.008741095366856608,True,True,True,True,normal_completion,6.2099937570000066,0.46454840741035675,0.31246629005358934,0.22124408751171945,0.3098771970552426,0.0,0.0,0.0,0.0,0.19707417672448987,0.6584462325331253,0.6811580108758215,0.6011687114740514,1.4320597933252828,2.8985902063046707,5.280342323256701,2.689932257214375,0.0,0.0,0.0,0.0,0.0,0.0,nan,False,5.280342323256701,1.4554193979664884,0.8078156184770102,1.1757105211117367,1.1474401317225074,0.933456176596632,1.0710850782312276,4,3.4033492049532423,0.7329152515850028,47.01180364130385,4.823029070626493,nan
baseline,3,3,1.2,0.5,0.372,0.372,0.672,0.03957446808510638,0.03957446808510638,0.07148936170212766,7009,7010,7011,0.07254872579802345,0.04402338099791708,0.05368517617715801,0.021051398985733293,0.14472828932134035,0.017558834462119564,0.009624294437994556,0.009092501992471155,0.011533084225644634,0.03548438633442054,4.434315521872667,1.7357082807663593,0.013468447495085214,-0.000863315035363868,0.00019164953247964578,0.013439383748307887,nan,0.4236387556483162,0.40756550821259535,0,0.7816959864194463,0.011413130609433535,True,True,True,True,normal_completion,6.11024772899998,0.45818290388424826,0.33226279224122385,0.22349322392824245,0.32246800491853234,0.0,0.0,0.0,0.0,0.2412302597992458,0.6079369048233244,0.6747827792831109,0.5323666217276136,1.3443929639668957,3.112172775756938,7.755118158650734,3.051121797729494,0.0,0.0,0.0,0.0,0.0,0.0,nan,False,7.755118158650734,1.3912556309791408,0.8295479100138616,1.1541132009737627,inf,0.0,1.0714415716658698,3,2.413286396683508,1.5485538933447602,46.791909046266454,4.705053921200184,nan
baseline,4,4,1.2,0.5,0.372,0.372,0.672,0.03957446808510638,0.03957446808510638,0.07148936170212766,7012,7013,7014,0.0768417414418746,0.052411003709839275,0.052470754712524624,0.020113672410705996,0.15734099644880353,0.01440826674135398,0.008554538908240993,0.0056166700373826515,0.010142535789858796,0.030357922376080253,3.899088368919818,1.3793688635821222,0.004859680721217916,-0.00046068807861879973,0.00023568154285368015,0.004832051056927453,nan,0.42145883609639223,0.4699865438481237,0,0.801684839473606,0.0030284030494761908,True,True,True,True,normal_completion,6.080946874000006,0.4687426669392725,0.3193948408045738,0.22267009168069404,0.31617563114637204,0.0,0.0,0.0,0.0,0.20836349181963734,0.6855924567550489,0.6708579089125678,0.6708061102206846,1.0161515435643316,3.0153892186108204,5.769619224654556,3.0528460492095824,0.0,0.0,0.0,0.0,0.0,0.0,nan,False,5.769619224654556,1.4170184673044097,0.8205057182188624,1.1626717552449963,inf,0.0,1.071371253218369,3,4.5620470761184935,0.7785018208347996,47.10007933283031,4.764156828862291,nan
baseline,5,0,1.22,0.5,0.3782,0.3782,0.6832,0.04023404255319149,0.04023404255319149,0.0726808510638298,7000,7001,7002,0.08567885616472219,0.048621964741654304,0.06752412379579208,0.02042703218695819,0.1677179626489521,0.017723016897297914,0.010216694161278196,0.009637907430624147,0.010809034587581418,0.03817046284457885,4.660939482282352,2.067139620241344,0.008220940783377508,0.0006467311469495612,-2.6227109379647895e-05,0.008195420570422149,nan,0.435114398960694,0.4770699416476088,0,0.7948051149703549,0.01156651160359157,True,True,True,True,normal_completion,6.046513508000089,0.47233431467359294,0.3384562481886051,0.21989169437637263,0.32447660960644514,0.0,0.0,0.0,0.0,0.26949094728960804,0.6449509250218315,0.679717890143838,0.5738144924130666,1.794348222219,3.0398266337674267,8.089944575662267,3.160726161766961,0.0,0.0,0.0,0.0,0.0,0.0,nan,False,8.089944575662267,1.4279531452945784,0.8153971362334865,1.1644274748329013,inf,0.0,1.0734875318772235,3,3.3527600496312018,0.9804273542260374,47.099728856311614,4.877341513518134,nan
baseline,6,1,1.22,0.5,0.3782,0.3782,0.6832,0.04023404255319149,0.04023404255319149,0.0726808510638298,7003,7004,7005,0.07746653126173907,0.048293071358270795,0.05671140381122356,0.021275793810603117,0.15625366291874412,0.014194945029766502,0.00895973315081635,0.006656862583452265,0.008769596730140305,0.03589984673081615,4.098097760262326,1.5677580057732092,0.0005133305007650978,-0.00045267835082280633,7.329847813263707e-05,0.00023068993652851366,nan,0.4315490358860725,0.361660630006162,0,0.7879940966877763,0.00974884424228926,True,True,True,True,normal_completion,6.0724511280000115,0.4543212733820641,0.3271966898565396,0.22105640247249803,0.30889271504053156,0.0,0.0,0.0,0.0,0.1968007770813533,0.6494617682902999,0.6702744993911367,0.5870246936336196,1.1011717327078703,3.086479634703781,6.6316327452942,3.1463509838563284,0.0,0.0,0.0,0.0,0.0,0.0,nan,False,6.6316327452942,1.534889690714495,0.7808279071292705,1.1984847048748926,inf,0.0,1.0749304460749811,3,1.845352743309121,0.9642549933828124,46.967568655010794,4.699365108778751,nan
baseline,7,2,1.22,0.5,0.3782,0.3782,0.6832,0.04023404255319149,0.04023404255319149,0.0726808510638298,7006,7007,7008,0.07302340418689245,0.048392472434134935,0.050448213943140634,0.021108384132871524,0.1473493053253359,0.018028875956996124,0.009432698852287622,0.007027087451291148,0.013663257392975869,0.037236457269451365,4.267093142872373,1.2631449189287518,0.007210352652141091,0.0002806032717139195,0.0006108682035603427,0.007178947500157698,nan,0.43379788906223404,0.38828508305237036,0,0.787517581344274,0.00878644625151829,True,True,True,True,normal_completion,6.0817240809999475,0.46561949073328696,0.3309353305751138,0.22061682652747244,0.33028633928499745,0.0,0.0,0.0,0.0,0.43177885488999557,0.6864472938811501,0.6868642106379462,0.6622393320543412,1.4134026475752313,2.92016464472448,7.110468569088472,2.6830632767046274,0.0,0.0,0.0,0.0,0.0,0.0,nan,False,7.110468569088472,1.463076595148772,0.80511118286758,1.1779393281460993,inf,0.0,1.0722767517189968,3,6.490132575902701,1.4426141665311318,47.011795482035225,5.006119028567468,nan
baseline,8,3,1.22,0.5,0.3782,0.3782,0.6832,0.04023404255319149,0.04023404255319149,0.0726808510638298,7009,7010,7011,0.07250712287420219,0.04398300129243663,0.05366192011424325,0.021051764639971337,0.14470231398587025,0.017867733138446005,0.00967351947658342,0.009174078960773943,0.011896015453267015,0.036184993461231385,4.450558948563975,1.743203109880604,0.013576634832065554,-0.000864758161419725,0.00018701351464661675,0.013547775929312278,nan,0.42418626992693137,0.41636929934620315,0,0.7816905181271131,0.011378464745193233,True,True,True,True,normal_completion,6.186341290999962,0.4707291477497087,0.3368365688273063,0.22045396882685675,0.3350999051889845,0.0,0.0,0.0,0.0,0.24701405782372587,0.6262352622233087,0.6794918480812919,0.5521322603042268,1.3720897123211404,3.1428028626258593,9.044947454315311,3.060339384883123,0.0,0.0,0.0,0.0,0.0,0.0,nan,False,9.044947454315311,1.3982781273785618,0.8269328485891384,1.1562821149930402,inf,0.0,1.072717473003002,3,3.0865880737165776,1.3629515204299643,46.79190087584875,4.7225625703519,nan
baseline,9,4,1.22,0.5,0.3782,0.3782,0.6832,0.04023404255319149,0.04023404255319149,0.0726808510638298,7012,7013,7014,0.07682658341599657,0.0524091023345662,0.052450018932286596,0.020114806135352787,0.15734943544017915,0.0145755715313946,0.008623767944237604,0.005683685871713992,0.01028463061186056,0.031091521642988264,3.9149570029552643,1.3849224459812666,0.004938148372143746,-0.0004596635366985874,0.00023297755858590202,0.004911185216984901,nan,0.42347178007921066,0.47956490927262707,0,0.8017028331464476,0.0030575096857822313,True,True,True,True,normal_completion,6.174178447000031,0.4928335014392528,0.362983474336275,0.2220306917175595,0.3639160815786285,0.0,0.0,0.0,0.0,0.21126015100008338,0.6862681202892316,0.6767751169479503,0.6845317195143255,0.9661345819258971,3.2920297693475966,8.32252102632552,3.1459501983442757,0.0,0.0,0.0,0.0,0.0,0.0,nan,False,8.32252102632552,1.4239193348128742,0.8179926795610883,1.1647555921624255,inf,0.0,1.0725696706369032,3,10.55474350950088,1.336582113315823,47.10007114691146,4.8393424217568874,nan
